,train,val,test
0,normal_002,normal_014,normal_023
1,normal_003,test_067,test_107
2,normal_004,test_031,test_123
3,normal_005,normal_129,test_120
4,normal_006,test_025,normal_026
5,normal_007,normal_052,normal_001
6,normal_008,normal_121,normal_087
7,normal_009,normal_149,normal_159
8,normal_011,normal_097,normal_106
9,normal_012,normal_077,normal_151
10,normal_013,normal_141,normal_010
11,normal_015,normal_136,test_047
12,normal_016,normal_061,test_044
13,normal_017,normal_138,normal_111
14,normal_019,normal_095,normal_056
15,normal_021,test_093,normal_143
16,normal_022,normal_142,normal_020
17,normal_024,normal_062,normal_096
18,normal_025,test_077,normal_074
19,normal_027,normal_053,test_037
20,normal_028,normal_018,test_020
21,normal_029,test_118,test_083
22,normal_030,normal_112,normal_059
23,normal_031,normal_094,normal_126
24,normal_032,tumor_055,tumor_004
25,normal_033,test_026,test_075
26,normal_034,test_066,tumor_032
27,normal_035,test_084,tumor_108
28,normal_036,tumor_067,test_074
29,normal_037,tumor_093,test_029
30,normal_038,tumor_096,tumor_077
31,normal_039,tumor_069,tumor_005
32,normal_040,tumor_059,test_021
33,normal_041,tumor_006,test_040
34,normal_042,tumor_012,test_001
35,normal_043,tumor_007,test_071
36,normal_044,tumor_076,tumor_037
37,normal_045,test_082,tumor_082
38,normal_046,tumor_035,tumor_049
39,normal_047,tumor_022,tumor_018
40,normal_048,,
41,normal_049,,
42,normal_050,,
43,normal_051,,
44,normal_054,,
45,normal_055,,
46,normal_057,,
47,normal_058,,
48,normal_060,,
49,normal_063,,
50,normal_064,,
51,normal_065,,
52,normal_066,,
53,normal_067,,
54,normal_068,,
55,normal_069,,
56,normal_070,,
57,normal_071,,
58,normal_072,,
59,normal_073,,
60,normal_075,,
61,normal_076,,
62,normal_078,,
63,normal_079,,
64,normal_080,,
65,normal_081,,
66,normal_082,,
67,normal_083,,
68,normal_084,,
69,normal_085,,
70,normal_088,,
71,normal_089,,
72,normal_090,,
73,normal_091,,
74,normal_092,,
75,normal_093,,
76,normal_098,,
77,normal_099,,
78,normal_100,,
79,normal_101,,
80,normal_102,,
81,normal_103,,
82,normal_104,,
83,normal_105,,
84,normal_107,,
85,normal_108,,
86,normal_109,,
87,normal_110,,
88,normal_113,,
89,normal_114,,
90,normal_115,,
91,normal_116,,
92,normal_117,,
93,normal_118,,
94,normal_119,,
95,normal_120,,
96,normal_122,,
97,normal_123,,
98,normal_124,,
99,normal_125,,
100,normal_127,,
101,normal_128,,
102,normal_130,,
103,normal_131,,
104,normal_132,,
105,normal_133,,
106,normal_134,,
107,normal_135,,
108,normal_137,,
109,normal_139,,
110,normal_140,,
111,normal_144,,
112,normal_145,,
113,normal_146,,
114,normal_147,,
115,normal_148,,
116,normal_150,,
117,normal_152,,
118,normal_153,,
119,normal_154,,
120,normal_155,,
121,normal_156,,
122,normal_157,,
123,normal_158,,
124,normal_160,,
125,test_003,,
126,test_005,,
127,test_006,,
128,test_007,,
129,test_009,,
130,test_012,,
131,test_014,,
132,test_015,,
133,test_017,,
134,test_018,,
135,test_019,,
136,test_022,,
137,test_023,,
138,test_024,,
139,test_028,,
140,test_032,,
141,test_034,,
142,test_035,,
143,test_036,,
144,test_039,,
145,test_041,,
146,test_042,,
147,test_043,,
148,test_045,,
149,test_050,,
150,test_053,,
151,test_054,,
152,test_055,,
153,test_056,,
154,test_057,,
155,test_058,,
156,test_059,,
157,test_060,,
158,test_062,,
159,test_063,,
160,test_070,,
161,test_072,,
162,test_076,,
163,test_078,,
164,test_080,,
165,test_081,,
166,test_085,,
167,test_086,,
168,test_087,,
169,test_088,,
170,test_089,,
171,test_091,,
172,test_095,,
173,test_096,,
174,test_098,,
175,test_100,,
176,test_101,,
177,test_103,,
178,test_106,,
179,test_109,,
180,test_111,,
181,test_112,,
182,test_115,,
183,test_119,,
184,test_124,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_002,,
192,test_004,,
193,test_008,,
194,test_010,,
195,test_011,,
196,test_013,,
197,test_016,,
198,test_027,,
199,test_030,,
200,test_033,,
201,test_038,,
202,test_046,,
203,test_048,,
204,test_051,,
205,test_052,,
206,test_061,,
207,test_064,,
208,test_065,,
209,test_068,,
210,test_069,,
211,test_073,,
212,test_079,,
213,test_090,,
214,test_092,,
215,test_094,,
216,test_097,,
217,test_099,,
218,test_102,,
219,test_104,,
220,test_105,,
221,test_108,,
222,test_110,,
223,test_113,,
224,test_114,,
225,test_116,,
226,test_117,,
227,test_121,,
228,test_122,,
229,tumor_001,,
230,tumor_002,,
231,tumor_003,,
232,tumor_008,,
233,tumor_009,,
234,tumor_010,,
235,tumor_011,,
236,tumor_013,,
237,tumor_014,,
238,tumor_015,,
239,tumor_016,,
240,tumor_017,,
241,tumor_019,,
242,tumor_021,,
243,tumor_023,,
244,tumor_024,,
245,tumor_025,,
246,tumor_026,,
247,tumor_027,,
248,tumor_028,,
249,tumor_029,,
250,tumor_030,,
251,tumor_031,,
252,tumor_033,,
253,tumor_034,,
254,tumor_036,,
255,tumor_038,,
256,tumor_039,,
257,tumor_040,,
258,tumor_041,,
259,tumor_042,,
260,tumor_043,,
261,tumor_044,,
262,tumor_045,,
263,tumor_046,,
264,tumor_047,,
265,tumor_048,,
266,tumor_050,,
267,tumor_051,,
268,tumor_052,,
269,tumor_053,,
270,tumor_054,,
271,tumor_056,,
272,tumor_057,,
273,tumor_058,,
274,tumor_060,,
275,tumor_061,,
276,tumor_062,,
277,tumor_063,,
278,tumor_064,,
279,tumor_065,,
280,tumor_066,,
281,tumor_068,,
282,tumor_070,,
283,tumor_071,,
284,tumor_072,,
285,tumor_073,,
286,tumor_074,,
287,tumor_075,,
288,tumor_078,,
289,tumor_079,,
290,tumor_080,,
291,tumor_081,,
292,tumor_083,,
293,tumor_084,,
294,tumor_085,,
295,tumor_086,,
296,tumor_087,,
297,tumor_088,,
298,tumor_089,,
299,tumor_090,,
300,tumor_091,,
301,tumor_092,,
302,tumor_094,,
303,tumor_095,,
304,tumor_097,,
305,tumor_098,,
306,tumor_099,,
307,tumor_100,,
308,tumor_101,,
309,tumor_102,,
310,tumor_103,,
311,tumor_104,,
312,tumor_105,,
313,tumor_106,,
314,tumor_107,,
315,tumor_109,,
316,tumor_110,,
317,tumor_111,,
